Region,Country,Year,All Types,Beer,Other,Spirits,Wine
Europe,Bosnia and Herzegovina,2010,5.29,4,0.05,1.13,0.12
Europe,Bosnia and Herzegovina,2011,2.78,2.14,0,0.07,0.02
Europe,Bosnia and Herzegovina,2012,1.64,1.49,0,0.78,0.09
Europe,Bosnia and Herzegovina,2013,2.98,0.86,0,0.56,0.47
Europe,Bosnia and Herzegovina,2014,2.43,0.61,0,1.15,0.05
Africa,Botswana,2000,3.79,0.3,0,2.61,0.15
Africa,Botswana,2001,4.98,1.6,0.21,2.35,2.85
Africa,Botswana,2002,0.45,0.73,0,0.05,3.18
Africa,Botswana,2003,0.47,0.22,0,0.06,0.28
Africa,Botswana,2004,0.56,0.24,0,0.09,0.29
Africa,Botswana,2005,1.14,0.18,0.03,0.52,0.21
Africa,Botswana,2006,1.23,0.45,0.03,0.6,0.08
Africa,Botswana,2007,0.96,0.59,0.06,0.19,0.11
Africa,Botswana,2008,0.38,0.75,0,0.28,0
Africa,Botswana,2009,0.28,0.13,0,0.16,0
Africa,Botswana,2010,0.33,0.13,0,0.17,0
Africa,Botswana,2011,5.09,3.6,0.47,0.75,0.52
Americas,Brazil,2000,5.12,3.36,0.31,0.78,0.24
Americas,Brazil,2001,3.21,7.16,0,0,0.06
Americas,Brazil,2002,0.96,0.79,0,0,0.09
Americas,Brazil,2003,1.1,0.94,0,0,0.02
Americas,Brazil,2004,0.21,0.08,0,0.13,0
Americas,Brazil,2005,0.22,0.08,0,0.12,0
Americas,Brazil,2006,10.06,0.13,0,2.06,0
Americas,Brazil,2007,9.69,4.81,0,1.59,3.1
Americas,Brazil,2008,9.33,4.75,0,1.58,3.28
Americas,Brazil,2009,8.75,4.2,0.62,1.29,2.57
Americas,Brazil,2010,9.34,4.11,0.91,1.35,3.04
Americas,Brazil,2011,9.47,3.78,1.23,1.53,3.26
Americas,Brazil,2012,3.61,3.34,0,2.54,2.92
Americas,Brazil,2013,3.7,1.09,0,2.55,0.01
Americas,Brazil,2014,3.38,1.38,0,2.03,0.01
Western Pacific,Brunei Darussalam,2000,0.1,1.35,0.01,0.02,0.02
Western Pacific,Brunei Darussalam,2001,0.11,0.05,0.01,0.03,0.01
Western Pacific,Brunei Darussalam,2002,0.12,0.05,0.01,0.05,0.01
Western Pacific,Brunei Darussalam,2003,9.75,0.45,9.21,0.02,0
Western Pacific,Brunei Darussalam,2004,9.3,0.6,8.57,0.03,0.04
Western Pacific,Brunei Darussalam,2005,8.3,0.74,7.43,0.06,0.05
Western Pacific,Brunei Darussalam,2006,8.71,1.32,0,1.82,0.11
Western Pacific,Brunei Darussalam,2007,7.06,2.1,0,3.6,0.12
Western Pacific,Brunei Darussalam,2008,5.89,2.93,0.07,1.12,1.6
Western Pacific,Brunei Darussalam,2009,6.6,2.98,0.12,1.35,2.05
Western Pacific,Brunei Darussalam,2010,6.21,2.91,0.14,1.11,2.39
Western Pacific,Brunei Darussalam,2011,0.55,2.57,0,0.27,0
Europe,Bulgaria,2000,0.58,0.21,0,0.35,0.01
Europe,Bulgaria,2001,0.54,0.23,0,0.31,0.03
Europe,Bulgaria,2002,0.01,0.18,0.01,0,0
Europe,Bulgaria,2003,0.03,0,0,0.03,0
Europe,Bulgaria,2004,0.04,0,0.01,0.03,0
Europe,Bulgaria,2005,5.52,3.41,0.01,2.03,0.11
Europe,Bulgaria,2006,6.16,3.59,0.02,1.75,0.18
Europe,Bulgaria,2007,6.95,4.82,0.02,1.7,0.24
Europe,Bulgaria,2008,0.61,0.59,0,0.01,0.01
Europe,Bulgaria,2009,0.71,0.81,0,0.02,0.02
Europe,Bulgaria,2010,6.78,0.76,0.04,2.02,0.02
Europe,Bulgaria,2011,6.38,3.67,0.14,1.77,0.89
Europe,Bulgaria,2012,5.65,2.4,0.07,1.88,1.31
Europe,Bulgaria,2013,4.22,2.57,0,2.21,0.23
Europe,Bulgaria,2014,4.22,1.66,0,1.73,0.42
Africa,Burkina Faso,2000,4.83,2.71,0,1.64,0.36
Africa,Burkina Faso,2001,4.42,1.18,0,3.29,0.01
Africa,Burkina Faso,2002,4.19,1.29,0,2.97,0.01
Africa,Burkina Faso,2003,5.02,1.32,0.03,3.7,0.01
Africa,Burkina Faso,2004,8.02,4.14,0,2.07,1.56
Africa,Burkina Faso,2005,10.9,5.3,0,3.5,1.3
Africa,Burkina Faso,2006,10.81,5.88,0,3.53,0.94
Africa,Burkina Faso,2007,12,3.75,0.35,1.59,6.65
Africa,Burkina Faso,2008,12.57,3.75,0.5,1.06,7.79
Africa,Burkina Faso,2009,11.96,3.37,0.41,0.85,7.45
Africa,Burkina Faso,2010,0.87,0.09,0,0.61,0.05
Africa,Burkina Faso,2011,1.24,0.35,0.01,0.73,0.17
Africa,Burkina Faso,2012,1.13,0.33,0.01,0.68,0.13
Africa,Burkina Faso,2013,9.55,2.23,6.58,0.52,0.04
Africa,Burundi,2000,9.05,1.89,6.15,0.37,0.14
Africa,Burundi,2001,9.56,1.88,7.04,0.38,0.13
Africa,Burundi,2002,8.15,0.64,0,4.19,2
Africa,Burundi,2003,9.07,1.88,0.3,3.8,3.06
Africa,Burundi,2004,10.49,2.11,0.23,3.27,4.89
Africa,Burundi,2005,8.78,3.12,0,1.82,3.92
Africa,Burundi,2006,11.9,4.62,0,2.9,3.3
Africa,Burundi,2007,9.59,4.7,0,1.41,2.98
Africa,Burundi,2008,11.5,2.92,0,7.09,0.9
Africa,Burundi,2009,11.21,4.71,0,5.77,1.26
Africa,Burundi,2010,10.12,4.2,0.23,4.57,1.11
